Row.names,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast,CellType_PC1,CellType_PC2,CellType_PC3,CellType_PC4,CellType_PC5,Sample_Name,sample_id,Predicted_Sex
203541700012_R03C01_PLAC,0.032524443,0,0.008304668,0.02666946,0.015115202,0.917386227,0.776053684,1.782320078,0.51724187,0.048692995,0.017041816,5522_CRDPL,5522,Male
203541700012_R04C01_PLAC,0,0,0,0.015241376,0.008732666,0.976025958,-2.471829885,-2.909214531,0.3562492,-0.1400379,-0.00178563,5511_CRDPL,5511,Female
203541700012_R06C01_PLAC,0.098124989,0,0.003279805,0.035200367,0.009607849,0.853786989,2.181792632,1.30444512,0.849217716,-0.056459327,-0.028915987,0106_CRDPL,106,Male
203541700015_R01C01_PLAC,0.027899698,0,0.002147266,0.033430633,0.01435605,0.922166353,1.154580865,0.614292704,0.613111513,0.194929401,0.020437072,0082_CRDPL,82,Male
203541700015_R03C01_PLAC,0,0,0.002702658,0.029890574,0.012046363,0.955360405,-3.86892161,-0.427437208,1.00970113,0.061179048,0.002509814,6160_CRDPL,6160,Male
203541700015_R05C01_PLAC,0.043991348,0,0,0.005666819,0.013804637,0.936537196,2.87380505,-1.317806653,-1.071930196,-0.22481939,0.003697267,6085_CRDPL,6085,Female
203541700015_R08C01_PLAC,0.046172516,0,0.006422909,0.015621212,0.024925622,0.906857741,1.122830046,1.728041651,-0.235904984,0.211606651,0.011021323,6159_CRDPL,6159,Male
203541700016_R02C01_PLAC,0.029724902,0,0,0.024403716,0.022974962,0.922896421,2.360933553,-1.898001868,-0.19503965,0.632202804,0.020102103,6142_CRDPL,6142,Female
203541700016_R05C01_PLAC,0,0,0,0.010009412,0.011494809,0.978495779,-2.499477434,-2.835628312,-0.131044717,-0.108585843,-0.001976596,5850_CRDPL,5850,Male
203541700016_R06C01_PLAC,0.011153923,0,0.022789694,0.018304254,0.03623284,0.91151929,-0.693211238,2.325208899,-0.120401212,0.428519219,0.014642182,6095_CRDPL,6095,Female
203541700019_R02C01_PLAC,0.067466696,0,0.014268959,0.034985325,0.04443959,0.83883943,1.009358701,2.157178178,0.121835985,0.849963275,-0.018273371,6082_CRDPL,6082,Male
203541700019_R05C01_PLAC,0,0,0.00302029,0,0.012815186,0.984164524,-3.620409855,1.269648326,-3.524898197,-1.935436203,-0.059953403,5975_CRDPL,5975,Female
203541700019_R07C01_PLAC,0.007845393,0,0.009920082,0.023332037,0.006858605,0.952043882,-0.393616694,1.762465725,0.96874732,-0.533661381,0.019115726,5038_crdpl,5038,Female
203541700020_R01C01_PLAC,0.090062514,0.009096939,0.011416182,0.044171953,0.010525934,0.834726477,1.047310777,0.898036087,0.581898144,-1.991438995,-3.320366545,5565_CRDPL,5565,Male
203541700020_R03C01_PLAC,0.187068726,0,6.92E-04,0.015743737,0.020128729,0.776366773,3.240384002,0.402890636,-0.372064904,0.298018482,-0.092156427,5593_CRDPL,5593,Female
203541700020_R07C01_PLAC,0.083459699,0,0,0.006155412,0.02464075,0.885744139,3.335494628,-1.274729139,-1.376137638,0.206014644,-0.020187846,0330_CRDPL,330,Female
203541700027_R01C01_PLAC,0,0,0,0.015685641,0.011564148,0.972750211,-2.523674278,-2.962081015,0.218243606,0.055626458,6.28E-04,5426_CRDPL,5426,Female
203541700027_R02C01_PLAC,0,0,0,0,0.020413334,0.979586666,-2.356358851,-1.611745262,-4.107737362,-1.362117435,-0.060339194,5762_CRDPL,5762,Male
203541700027_R05C01_PLAC,0.042417915,0,0.003132435,0,0.025688049,0.9287616,1.585695137,2.568193834,-4.310160734,-1.511619374,-0.048027115,5962_CRDPL,5962,Female
203541700028_R02C01_PLAC,0.002949063,0,0,0.008495158,0.009093775,0.979462004,0.5657292,-1.980136388,-0.348245184,-0.353264698,0.015876532,6105_CRDPL,6105,Male
203541700028_R04C01_PLAC,0,0.002112402,0,0.024545762,0.006617661,0.966724176,-2.824748462,-3.896920268,0.53782368,-1.513399267,-2.253155579,5915_CRDPL,5915,Female
203541700028_R06C01_PLAC,0.096049075,0,0.001142549,0.020353429,0.018646538,0.863808409,2.462566275,0.527408138,-0.054661424,0.257701999,-0.020149149,5940_CRDPL,5940,Female
203541700029_R02C01_PLAC,0,0,0.001650958,0,0.018512326,0.979836716,-3.46018185,0.739552555,-3.788889927,-1.647058865,-0.058055711,5998_CRDPL,5998,Female
203541700029_R04C01_PLAC,0.029932503,0,0,0.01606174,0.017882123,0.936123634,2.433001981,-1.740875488,-0.381635278,0.313243788,0.019944723,0003_CRDPL,3,Male
203541700029_R07C01_PLAC,0.042184926,0,0,0.00319187,0.016459359,0.938163846,2.834833319,-1.196414976,-1.613439806,-0.307697657,-9.43E-04,5614_CRDPL,5614,Male
203541700031_R02C01_PLAC,0,0.031550399,0.002119021,0.020034212,0,0.946296369,-3.582860311,-1.385736181,2.79779797,-5.76864573,-4.263123135,5533_crdpl,5533,Male
203541700031_R04C01_PLAC,0,0.012468897,0.002706053,0.029006288,0.021341527,0.934477235,-4.559814371,-1.909962183,0.109632921,-1.692560205,-3.512659159,5529_crdpl,5529,Female
203541700031_R06C01_PLAC,0.050360027,0,0.005361096,0.030889917,0.019434727,0.893954233,1.279581369,1.453920311,0.423383491,0.307265652,0.007688841,5536_CRDPL,5536,Male
203541700031_R07C01_PLAC,0.067658626,0,0,0.032024751,0.002638627,0.897677996,3.462921395,-1.431301369,1.202498797,-0.676552616,-0.02239052,5597_CRDPL,5597,Female
203541700033_R02C01_PLAC,0,0.006138616,2.06E-04,0.002339459,0.018063752,0.973252606,-3.447642976,-2.792274098,-1.881329144,-2.21836234,-3.018183756,5532_CRDPL,5532,Female
203541700033_R04C01_PLAC,0.093556856,0.032507301,0.010581945,0.04421564,0.007619365,0.811518892,1.017509561,0.538077007,0.617693834,-2.740983416,-4.263128217,5543_crdpl,5543,Male
203541700033_R06C01_PLAC,0.046570293,0,0.037041065,0.033093431,0.085786158,0.797509053,0.200719822,2.771420364,-0.184564678,1.219860644,-0.044967795,5537_CRDPL,5537,Female
203541700033_R08C01_PLAC,0,0,0.0127511,0.017525363,0.024332282,0.945391255,-4.5632348,0.854888625,0.326225328,0.223578041,2.14E-04,5544_CRDPL,5544,Male
203541700040_R01C01_PLAC,0.02365674,0,0,0.017199361,0.010875101,0.948268798,2.311024328,-1.73588645,-0.028352436,0.006655739,0.020576407,5893_CRDPL,5893,Male
203541700040_R03C01_PLAC,0.009326525,0,9.42E-04,0.026354731,0.033692612,0.929684307,0.352142738,-0.332940113,-0.066082344,0.738813391,0.027327239,5785_CRDPL,5785,Female
203541700040_R05C01_PLAC,0,0,0.022577311,0.016889836,0.030043131,0.930489723,-4.820015723,1.298922885,0.229673623,0.313560295,-0.007281077,6052_CRDPL,6052,Female
203541700040_R08C01_PLAC,0.011342327,0,0.005404624,0.055578574,0.021207763,0.906466711,-0.081442937,0.939723814,0.931862395,0.578803961,0.017171667,5427_CRDPL,5427,Male
203541700042_R02C01_PLAC,0.320320042,0.005985204,0.033654205,0.030633738,0.023246054,0.586160756,1.717444167,2.262637309,-0.055578403,-1.340642814,-3.246867797,5633_crdpl,5633,Male
203541700042_R03C01_PLAC,0.028616682,0,0.004521012,0,0.016592988,0.950269318,1.175905468,2.835798756,-4.002798289,-1.834173101,-0.041229195,6147_CRDPL,6147,Female
203541700042_R08C01_PLAC,0.028311358,0,8.08E-04,0.00572688,0.030698889,0.934455285,1.476647481,0.249247393,-1.292832776,0.140421065,0.014436879,6003_CRDPL,6003,Male
203541700043_R03C01_PLAC,0.083833384,0.020719092,0.015376525,0.06447288,0,0.815598119,1.602979822,1.551973943,3.522773492,-5.315424944,-3.996058209,5042_crdpl,5042,Male
203541700043_R05C01_PLAC,0,0,2.40E-04,0.006431236,0.025702026,0.967626342,-3.100498295,-1.839781951,-0.825459386,0.177355491,-0.002159198,6093_CRDPL,6093,Female
